title,year,rating,dubious,imdbid
"Kitchen, The",2019,3,0,tt5822564
Wonder Park,2019,3,0,tt6428676
A.M.I.,2019,3,0,tt8712750
A New Christmas,2019,1,0,tt9201720
Richard Jewell,2019,3,0,tt3513548
My Hero Academia: Heroes Rising,2019,3,0,tt11107074
Maria,2019,3,0,tt7594584
47 Meters Down: Uncaged,2019,3,0,tt7329656
Sound of Metal,2019,1,0,tt5363618
"Assistant, The",2019,3,0,tt9000224
"Peanut Butter Falcon, The",2019,1,0,tt4364194
"Personal History of David Copperfield, The",2019,3,0,tt6439020
Good Kisser,2019,3,0,tt9602378
Fahim,2019,1,0,tt4693588
"Final Level: Escaping Rancala, The",2019,3,0,tt11334312
In the Shadow of the Moon,2019,1,0,tt8110640
After the Wedding,2019,3,0,tt7985692
Quebramar,2019,3,0,tt11621206
Saga of Tanya the Evil - The Movie,2019,3,1,tt9507276
Men in Black: International,2019,3,0,tt2283336
How to Train Your Dragon: The Hidden World,2019,3,0,tt2386490
Code 8,2019,1,0,tt6259380
Papicha,2019,3,0,tt9522080
Lucky Grandma,2019,3,0,tt10011336
Pokemon: Mewtwo Strikes Back - Evolution,2019,3,0,tt8856470
A Call to Spy,2019,3,0,tt7698468
Stray,2019,3,0,tt6294226
"Highwaymen, The",2019,1,0,tt1860242
"Souvenir, The",2019,3,0,tt6920356
Performaniax,2019,3,0,tt8892756
Horrible Histories: The Movie - Rotten Romans,2019,3,0,tt7715070
Angel Has Fallen,2019,1,0,tt6189022
Les Parfums,2019,3,0,tt11748354
Carmilla,2019,3,0,tt7280218
Blood Machines,2019,3,1,tt6197070
Katharine Hepburn,2019,3,0,tt15324860
&quot;The Good Place&quot; The Funeral to End All Funerals,2019,3,0,tt11028798
Kim Ji-young: Born 198,2019,3,0,tt11052808
White Snake,2019,3,0,tt9288776
"Cat and the Moon, The",2019,1,0,tt5360232
Marighella,2019,3,0,tt7825208
Bombshell,2019,3,0,tt6394270
Judy,2019,3,0,tt7549996
Soul,2020,3,0,tt2948372
"Marijuana Conspiracy , The",2020,3,0,tt8461042
Like a Boss,2020,3,0,tt7545266
Honey Boy,2020,0,0,tt8151874
"Rhythm Section, The",2020,2,0,tt7134096
"Turning, The",2020,3,0,tt7510346
Birds of Prey,2020,3,0,tt7713068
Platzspitzbaby,2020,3,0,tt9737798
Horse Girl,2020,3,0,tt11388406
Sonic the Hedgehog,2020,3,0,tt3794354
Minari,2020,3,0,tt10633456
Living Aims,2020,2,0,tt10752062
"Veil, The",2020,3,0,tt11895476
Onward,2020,3,0,tt7146812
All the Bright Places,2020,3,0,tt3907584
Lost Girls,2020,3,0,tt3111426
Zombies 2,2020,3,0,tt9766166
"Invisible Man, The",2020,3,0,tt1051906
Emma.,2020,3,0,tt9214832
Bad Boys For Life,2020,2,0,tt1502397
Blow the Man Down,2020,3,0,tt8299768
Stargirl,2020,3,0,tt4858674
Trolls World Tour,2020,3,0,tt6587640
My Spy,2020,3,0,tt8242084
Extraction,2020,3,0,tt8936646
"Half of It, The",2020,3,0,tt9683478
"Methodists, The",2020,3,0,tt12261880
18 Presents,2020,3,0,tt10816484
Scoob,2020,3,0,tt3152592
Shirley,2020,3,0,tt8430598
"last days of american crime, The",2020,0,0,tt1552211
"High Note, The",2020,3,0,tt9308382
"Hunt, The",2020,3,0,tt8244784
Never Rarely Sometimes Always,2020,3,0,tt7772582
Palm Springs,2020,3,0,tt9484998
"Old Guard, The",2020,3,0,tt7556122
Greyhound,2020,0,0,tt6048922
Tout simplement noir,2020,1,0,tt10426916
Artemis Fowl,2020,3,0,tt3089630
Legacy of Lies,2020,3,0,tt6834916
Hamilton,2020,3,0,tt8503618
Underwater,2020,3,0,tt5774060
Work It,2020,3,0,tt10276470
Tenet,2020,1,0,tt6723592
Bill &amp; Ted Face the Music,2020,3,0,tt1086064
Mulan,2020,3,0,tt4566758
Wolfwalkers,2020,3,1,tt5198068
Phineas and Ferb the Movie: Candace Against the Universe,2020,3,0,tt1817232
Sputnik,2020,0,0,tt11905962
Enola Holmes,2020,3,0,tt7846844
"New Mutants, The",2020,3,0,tt4682266
"King of Staten Island, The",2020,3,0,tt9686708
Unhinged,2020,3,0,tt10059518
Eurovision Song Contest: The Story of Fire Saga,2020,3,1,tt8580274
Druk,2020,1,0,tt10288566
Summerland,2020,1,0,tt6841122
"Trial of the Chicago 7, The",2020,1,0,tt1070874
Bad Hair,2020,3,0,tt4798836
Scare Me,2020,1,0,tt10126434
Over the Moon,2020,3,0,tt7488208
"Stunt Double, The",2020,1,0,tt12841698
"Call, The",2020,3,0,tt10530176
Freaky,2020,3,0,tt10919380
Jiu Jitsu,2020,1,0,tt9624766
Ludo,2020,3,1,tt7212754
"Witches, The",2020,2,1,tt805647
Santana,2020,1,0,tt11769162
Godmothered,2020,3,0,tt11681250
Mariah Carey&#39;s Magical Christmas Special,2020,3,0,tt13017992
Fantasy Island,2020,3,0,tt983946
Host,2020,3,0,tt12749596
Relic,2020,3,0,tt9072352
"Prom, The",2020,3,0,tt10161886
Happiest Season,2020,3,0,tt8522006
Gretel &amp; Hansel,2020,3,0,tt9086228
"Croods: A New Age, The",2020,3,0,tt2850386
"Midnight Sky, The",2020,3,0,tt10539608
Wonder Woman 1984,2020,3,0,tt7126948
Borat Subsequent Moviefilm,2020,3,1,tt13143964
Superintelligence,2020,3,0,tt7178640
Herself,2020,3,0,tt9902160
News of the World,2020,3,0,tt6878306
Run Hide Fight,2020,3,0,tt11456054
Pieces of a Woman,2020,3,0,tt11161474
I&#39;m Your Woman,2020,3,0,tt10243992
Unpregnant,2020,3,0,tt10556022
Cadaver,2020,3,0,tt11284280
Train to Busan Presents: Peninsula,2020,3,0,tt8850222
Mank,2020,1,0,tt10618286
Breach,2020,1,0,tt9820556
Run,2020,3,1,tt8633478
Ma Rainey&#39;s Black Bottom,2020,3,0,tt10514222
Nomadland,2020,3,0,tt9770150
Promising Young Woman,2020,3,1,tt9620292
Ammonite,2020,3,0,tt7983894
I Care a Lot,2020,3,1,tt9893250
"Lost Husband, The",2020,3,0,tt4257940
Infamous,2020,3,0,tt7703924
Monster Hunter,2020,3,0,tt6475714
Penguin Bloom,2020,3,0,tt6317656
Deep Blue Sea 3,2020,1,0,tt11946300
"Courier, The",2020,3,1,tt8368512
Malmkrog,2020,3,0,tt10213380
Slaxx,2020,3,0,tt9741310
How to Be a Good Wife,2020,3,0,tt10441958
Love and Monsters,2020,2,0,tt2222042
From Stress to Happiness,2020,1,0,tt13079086
Misbehaviour,2020,3,1,tt9148706
Summer of 85,2020,1,0,tt10457128
"Retreat, The",2020,0,0,tt12198524
Breath,2020,0,0,tt11771622
Shadow in the Cloud,2020,0,0,tt9691136
Holidate,2020,3,0,tt9866072
My Salinger Year,2020,3,0,tt2222052
Friend of the World,2020,3,0,tt6074542
one night in san diego,2020,2,0,tt9765226
One Night in Miami...,2020,2,0,tt10612922
Normal People,2020,3,1,tt9059760
A Quiet Place Part II,2020,3,1,tt8332922
To All the Boys: P.S. I Still Love You,2020,3,0,tt9354842
Mainstream,2020,3,0,tt9224288
"Evil Next Door, The",2020,3,1,tt11320192
Motherland: Fort Salem,2020,3,0,tt9900092
An American Pickle,2020,1,0,tt9059704
You Will Never Be Back,2020,3,0,tt13266132
Iskioma,2020,0,0,tt13152234
Jiang Ziya: Legend of Deification,2020,2,0,tt11177804
Geenland,2020,3,0,tt7737786
"Craft: Legacy, The",2020,3,0,tt4685762
"world to come, The",2020,3,0,tt9738716
I&#39;m Thinking of Ending Things,2020,0,1,tt7939766
Dolittle,2020,3,0,tt6673612
Save Yourselves!,2020,3,1,tt7873348
Demon Slayer: Mugen Train,2020,0,1,tt11032374
"Tomorrow War, The",2021,2,0,tt9777666
Finding &#39;Ohana,2021,3,0,tt10332588
"Dry, The",2021,3,1,tt5144174
High Ground,2021,2,1,tt9286908
Raya and the Last Dragon,2021,3,0,tt5109280
Sweetheart,2021,3,0,tt10919362
Judas and The Black Messiah,2021,2,0,tt9784798
Coming 2 America,2021,3,0,tt6802400
Moxie,2021,3,0,tt6432466
Cherry,2021,0,0,tt9130508
Sentinelle,2021,3,0,tt11734264
Zack Snyder&#39;s Justice League,2021,3,0,tt12361974
"United States vs. Billie Holiday, The",2021,3,0,tt8521718
Willy&#39;s Wonderland,2021,3,0,tt8114980
"Mauritanian, The",2021,3,1,tt4761112
Nobody,2021,1,0,tt7888964
Thunder Force,2021,3,0,tt10121392
Cousins,2021,3,0,tt10483044
Ajeeb Daastaans,2021,3,0,tt14091818
Stowaway,2021,3,0,tt9203694
Mortal Kombat,2021,2,0,tt293429
Barb and Star Go to Vista Del Mar,2021,3,0,tt3797512
"Mitchells vs the Machines, The",2021,3,0,tt7979580
Us Again,2021,0,0,tt14062858
Radhe,2021,0,0,tt10888594
Oxygen,2021,3,0,tt6341832
Without Remorse,2021,1,0,tt499097
Black Widow,2021,3,0,tt3480822
Inside,2021,0,0,tt14544192
Cruella,2021,3,0,tt3228774
"Kissing Booth 3, The",2021,3,0,tt12783454
Malignant,2021,3,0,tt3811906
"Eyes of Tammy Faye, The",2021,3,0,tt9115530
Spiral: From the Book of Saw,2021,3,0,tt10342730
Afterlife of the Party,2021,3,0,tt11742798
Escape Room: Tournament of Champions,2021,3,0,tt9844522
In the Heights,2021,3,0,tt1321510
Shang-Chi and the legend of the ten rings,2021,3,1,tt9376612
Cinderella,2021,3,1,tt10155932
America: The Motion Picture,2021,3,1,tt6733874
Fatherhood,2021,3,0,tt4733624
"Conjuring: The Devil Made Me Do It, The",2021,1,0,tt7069210
F9 - The Fast Saga,2021,3,0,tt5433138
Fear Street: Part One - 1994,2021,3,0,tt6566576
Luca,2021,1,1,tt12801262
Fear Street: Part Two - 1978,2021,3,0,tt9701940
Plan B,2021,3,0,tt13172796
To All the Boys: Always and Forever,2021,3,0,tt10676012
Space Jam: A New Legacy,2021,3,0,tt3554046
Sweet Girl,2021,3,0,tt10731768
Old,2021,3,0,tt10954652
"Hitman&#39;s Wife&#39;s Bodyguard, The",2021,0,0,tt8385148
Jungle Cruise,2021,3,1,tt870154
Gunpowder Milkshake,2021,3,0,tt8368408
Pig,2021,0,0,tt11003218
Secret Agent Dingledorf and His Trusty Dog Splat,2021,1,0,tt10355058
Those Who Wish Me Dead,2021,1,0,tt3215824
"Suicide Squad, The",2021,3,0,tt6334354
Fear Street: Part Three - 1666,2021,3,0,tt9701942
Titane,2021,2,0,tt10944760
"Marksman, The",2021,2,0,tt6902332
Free Guy,2021,1,0,tt6264654
Drive My Car,2021,3,0,tt14039582
"Green Knight, The",2021,1,0,tt9243804
Good on Paper,2021,3,0,tt8231668
Reminiscence,2021,2,0,tt3272066
Madame Claude,2021,3,0,tt10307724
Army of the Dead,2021,3,0,tt993840
"Influencer, The",2021,3,0,tt10868922
No Sudden Move,2021,3,0,tt11525644
"Little Things, The",2021,3,0,tt10016180
"La Luna, Tomasico y mi abuela",2021,0,0,tt14156262
Dune,2021,3,0,tt1160419
#Nofilter,2021,0,0,tt14843560
CODA,2021,3,0,tt10366460
No Time To Die,2021,2,1,tt2382320
"Many Saints of Newark, The",2021,2,0,tt8110232
"Guilty, The",2021,1,0,tt9421570
Spider-Man: No Way Home,2021,3,1,tt10872600
Till Death,2021,0,0,tt11804152
"Last Duel, The",2021,3,1,tt4244994
"Harder They Fall, The",2021,3,0,tt10696784
Passing,2021,3,0,tt8893974
Venom Let there be Carnage,2021,2,0,tt7097896
Night Teeth,2021,2,0,tt10763820
Borga,2021,3,0,tt5492808
Eternals,2021,3,0,tt9032400
Respect,2021,3,0,tt2452150
Last Night in Soho,2021,3,0,tt9639470
"French Dispatch, The",2021,3,0,tt8847712
"Lost Daughter, The",2021,3,0,tt9100054
Eye of the Beholder,2021,3,0,tt15526040
Red Notice,2021,1,0,tt7991608
Petite Maman,2021,3,0,tt13204490
"Beatles: Get Back, The",2021,3,1,tt9735318
There&#39;s Someone Inside Your House,2021,3,0,tt8150814
"Retreat, The",2021,3,0,tt11392272
Encanto,2021,3,0,tt2953050
Love Hard,2021,2,0,tt10752004
West Side Story,2021,3,0,tt3581652
Every Time a Bell Rings,2021,3,0,tt15943414
Single All The Way,2021,3,0,tt14315756
"Matrix Resurrections, The",2021,3,0,tt10838180
Don&#146;t Look Up,2021,3,0,tt11286314
Kate,2021,2,1,tt7737528
A Classic Horror Story,2021,3,1,tt12877640
"Tender Bar, The",2021,1,0,tt3108894
Licorice Pizza,2021,3,0,tt11271038
Nightmare Alley,2021,1,0,tt7740496
13 Minutes,2021,3,0,tt9274670
tick...tick..BOOM!,2021,3,1,tt8721424
The Worst Person in the World,2021,3,1,tt10370710
Being The Ricardos,2021,3,0,tt4995540
Boiling Point,2021,3,0,tt11127680
"Power of the Dog, The",2021,0,0,tt10293406
Mass,2021,3,0,tt11389748
