,title,year,rating,dubious,imdbid
398,Mortal Kombat,2021,2,0,293429
399,Barb and Star Go to Vista Del Mar,2021,3,0,3797512
400,"Mitchells vs the Machines, The",2021,3,0,7979580
401,Us Again,2021,0,0,14062858
402,Radhe,2021,0,0,10888594
403,Oxygen,2021,3,0,6341832
404,Without Remorse,2021,1,0,499097
405,Black Widow,2021,3,0,3480822
406,Inside,2021,0,0,14544192
407,Cruella,2021,3,0,3228774
408,"Kissing Booth 3, The",2021,3,0,12783454
409,Malignant,2021,3,0,3811906
410,"Eyes of Tammy Faye, The",2021,3,0,9115530
411,Spiral: From the Book of Saw,2021,3,0,10342730
412,Afterlife of the Party,2021,3,0,11742798
413,Escape Room: Tournament of Champions,2021,3,0,9844522
414,In the Heights,2021,3,0,1321510
415,Shang-Chi and the legend of the ten rings,2021,3,1,9376612
416,Cinderella,2021,3,1,10155932
417,America: The Motion Picture,2021,3,1,6733874
418,Fatherhood,2021,3,0,4733624
419,"Conjuring: The Devil Made Me Do It, The",2021,1,0,7069210
420,F9 - The Fast Saga,2021,3,0,5433138
421,Fear Street: Part One - 1994,2021,3,0,6566576
422,Luca,2021,1,1,12801262
423,Fear Street: Part Two - 1978,2021,3,0,9701940
424,Plan B,2021,3,0,13172796
425,To All the Boys: Always and Forever,2021,3,0,10676012
426,Space Jam: A New Legacy,2021,3,0,3554046
427,Sweet Girl,2021,3,0,10731768
428,Old,2021,3,0,10954652
429,"Hitman&#39;s Wife&#39;s Bodyguard, The",2021,0,0,8385148
430,Jungle Cruise,2021,3,1,870154
431,Gunpowder Milkshake,2021,3,0,8368408
432,Pig,2021,0,0,11003218
433,Secret Agent Dingledorf and His Trusty Dog Splat,2021,1,0,10355058
434,Those Who Wish Me Dead,2021,1,0,3215824
435,"Suicide Squad, The",2021,3,0,6334354
436,Fear Street: Part Three - 1666,2021,3,0,9701942
437,Titane,2021,2,0,10944760
438,"Marksman, The",2021,2,0,6902332
439,Free Guy,2021,1,0,6264654
440,Drive My Car,2021,3,0,14039582
441,"Green Knight, The",2021,1,0,9243804
442,Good on Paper,2021,3,0,8231668
443,Reminiscence,2021,2,0,3272066
444,Madame Claude,2021,3,0,10307724
445,Army of the Dead,2021,3,0,993840
446,"Influencer, The",2021,3,0,10868922
447,No Sudden Move,2021,3,0,11525644
448,"Little Things, The",2021,3,0,10016180
449,"La Luna, Tomasico y mi abuela",2021,0,0,14156262
450,Dune,2021,3,0,1160419
451,#Nofilter,2021,0,0,14843560
452,CODA,2021,3,0,10366460
453,No Time To Die,2021,2,1,2382320
454,"Many Saints of Newark, The",2021,2,0,8110232
455,"Guilty, The",2021,1,0,9421570
456,Spider-Man: No Way Home,2021,3,1,10872600
457,Till Death,2021,0,0,11804152
458,"Last Duel, The",2021,3,1,4244994
459,"Harder They Fall, The",2021,3,0,10696784
460,Passing,2021,3,0,8893974
461,Venom Let there be Carnage,2021,2,0,7097896
462,Night Teeth,2021,2,0,10763820
463,Borga,2021,3,0,5492808
464,Eternals,2021,3,0,9032400
465,Respect,2021,3,0,2452150
466,Last Night in Soho,2021,3,0,9639470
467,"French Dispatch, The",2021,3,0,8847712
468,"Lost Daughter, The",2021,3,0,9100054
469,Eye of the Beholder,2021,3,0,15526040
470,Red Notice,2021,1,0,7991608
471,Petite Maman,2021,3,0,13204490
472,"Beatles: Get Back, The",2021,3,1,9735318
473,There&#39;s Someone Inside Your House,2021,3,0,8150814
474,"Retreat, The",2021,3,0,11392272
475,Encanto,2021,3,0,2953050
476,Love Hard,2021,2,0,10752004
477,Cruella,2021,3,0,3228774
478,West Side Story,2021,3,0,3581652
479,Every Time a Bell Rings,2021,3,0,15943414
480,Single All The Way,2021,3,0,14315756
481,"Matrix Resurrections, The",2021,3,0,10838180
482,Don&#146;t Look Up,2021,3,0,11286314
483,Kate,2021,2,1,7737528
484,A Classic Horror Story,2021,3,1,12877640
485,"Tender Bar, The",2021,1,0,3108894
486,Licorice Pizza,2021,3,0,11271038
487,Nightmare Alley,2021,1,0,7740496
488,13 Minutes,2021,3,0,9274670
489,tick...tick..BOOM!,2021,3,1,8721424
490,The Worst Person in the World,2021,3,1,10370710
491,Being The Ricardos,2021,3,0,4995540
492,Boiling Point,2021,3,0,11127680
493,"Power of the Dog, The",2021,0,0,10293406
494,Mass,2021,3,0,11389748
